__label__社会 , 日本 で 最も 面積 が 大きい 市 は ○ ○ 市 ？ ○ の 漢字 を ひ ら が なで 答え なさい た か や ま 
__label__社会 , 次 の 世界 遺産 の 熊野 古道 を 北 に ある もの から 順に 選び なさい 小 辺 路 大 辺 路 中辺路 
__label__社会 , 2012 年 7 月 2 日 に 民主党 に 離党 届 を 提出 し た 議員 の 数 は 衆議院 議員 と 参議院 議員 で は 参議院 議員 の 方 が 多かっ た 
__label__社会 , 世界 最大 の 湖 カスピ海 は 塩 湖 で ある 
__label__社会 , JR 山手 線 ・ 原宿 駅 に ある 御召 し 列車 専用 の 発着 ホーム は 実際 に 使用 さ れ た こと が ない 
__label__社会 , 日本 で 標高 トップ 10 に 入る 山 は 全て 本州 に ある 
__label__社会 , 次 の 世界 遺産 を それ が ある 国 ごと に グループ 分け し なさい エクアドル ペルー クスコ 市街 マチュピチュ の 歴史 保護 区 ガラパゴス 諸島 キト 市街 
__label__社会 , 次 の 旧 国名 の うち 現在 の 東北 地方 に あっ た もの を 全て 選び なさい 陸中 越前 盤 城 
__label__社会 , 1 円 玉 の 製造 コスト は 1 枚 につき 1 円 以上 かかる 
__label__社会 , [ 画像 問 ] （ A . 南鳥島 、 三角形 の 島 | B . 沖ノ鳥島 、 ほとんど 海中 に ある ） 
__label__社会 , 東リ の かつて の 社名 と いえ ば 「 東洋 ○○○○○○」？ リノリューム 
__label__社会 , 東京 都 に ある 市 の 数 は 区 の 数 より も 多い 
__label__社会 , 6 歳 未満 の 幼児 が 1 人 で 旅行 する 場合 に は 、 子供 料金 が 発生 する 
__label__社会 , ヨーロッパ に ある 黒海 の こと を 英語 で は 「 Black Sea 」 という 
__label__社会 , 「 企業 の 連合 」 を 指す 用語 です シンジケート 
__label__社会 , 似 た 名前 の 国 、 オーストリア と オーストラリア の うち 「 東 の 国 」 という 意味 の 国名 を 持つ の は オーストリア で ある 
__label__社会 , ダイヤモンド ヘッド が ある ハワイ 州 の 島 は ハワイ 島 で ある 
__label__社会 , 次 の 南米 の 国 と 大統領 宮殿 の 名前 の 正しい 組み合わせ を 選び なさい チリ ブラジル アルゼンチン モネダ 宮殿 カサ・ロサーダ アルボラーダ 宮殿 
__label__社会 , 2011 年 11 月 に 参議院 の 議長 に 就任 し た 政治 家 は ○○○○？○ の 漢字 を ひ ら が なで 答え なさい ひらた けんじ 
__label__社会 , 日本 列島 の 太平洋 側 を 流れる 暖流 は ○ ○ 海流 ？ ○ の 漢字 を ひ ら が なで 答え なさい に ほん 
__label__社会 , 1992 年 に ノーベル 平和 賞 を 受賞 し た リゴベルタ・メンチュウ は グアテマラ の 人権 活動 家 で ある 
__label__社会 , 移転 問題 で 揺れる アメリカ 軍 の 普天間 基地 が ある 都市 は 宜野湾 市 です が 普天間 基地 の 移設 先 として 発表 さ れ た 辺野古 地域 が ある 沖縄 県 の 都市 は ○ ○ 市 ？ ○ を 宣 答え なさい なご 
__label__社会 , 航海 図 など に 使わ れる メルカトル 図法 は 円錐 図法 の 一 種 で ある 
__label__社会 , 横浜 市 が ある の は 神奈川 県 です が 小浜 市 が ある の は ○ ○ 県 ？ ○ の 漢字 を ひ ら が なで 答え なさい ふく い 
__label__社会 , ロンドン 市内 に ある 公園 ハイドパーク の 中心 に ある 湖 は ○ ○ ○ ○ ○ ○ ○ 湖 ？ ○ を 答え なさい サーペンタイン 
__label__社会 , JR の 駅 を 五十音 順 に 並べ た 時 、 最初 に 来る の は ○ ○ 駅 ？ ○ の 漢字 を ひ ら が なで 答え なさい あい おい 
__label__社会 , 九州 に は 、 その 名 の 通り 9 つ の 県 が ある 
__label__社会 , 海底 に そびえる 火山 性 の 海山 の 中 でも 、 特に 頂上 が 平ら な もの を アメリカ の 地理 学者 に ちなん で ○ ○ ○ という ？ ○ を 答え なさい ギヨー 
__label__社会 , 京都 ・ 祇園祭 の 名物 「 山鉾巡行 」 の 順番 を 決定 する の は 「 ○ ○ ○ ○ 式 」 ？ ひ ら が な 4 文字 で 答え なさい くじ とり 
__label__社会 , 物価 と 失業 率 の 関係 を 表し た 曲線 に 名 を 残す 経済 学者 です フィリップス 
__label__社会 , 「 日本 三景 」 と 呼ば れる 景勝 地 を 1 つ 答え なさい まつ しま あま の はし だ て いつくしま 
__label__社会 , キラウエア 火山 が ある ハワイ 州 の 島 は ハワイ 島 で ある 
__label__社会 , 次 の 食品 の うち 世界 三 大 穀物 に 含ま れ ない の は ？ トウモロコシ ジャガイモ 小麦 米 
__label__社会 , [ 画像 問 ] 高知 県 の 観光 名所 と なっ て いる この 橋 は ○ ○ ○ ○ 橋 ？ （ 20 m の 赤い ） ( 4 文字 ) はりまや 
__label__社会 , 京都 府 、 兵庫 県 、 鳥取 県 、 山口 県 の 日本海 側 は ○ ○ 地方 ？ ○ の 漢字 を ひ ら が なで 答え なさい さん い ん 
__label__社会 , 民主党 の ロゴ マーク を 手がけ た ベテラン の デザイナー です 浅葉 克己 
__label__社会 , カツラ メーカー ・ アデランス の 2010 年 9 月 ～ 翌年 6 月 まで の 社名 ユニヘアー 
__label__社会 , 北海道 の 函館 に ある 五稜郭 は 江戸 時代 に 作ら れ た もの で ある 
__label__社会 , 上海 フェリー の 上海 ・ 大阪 航路 に 就航 し て いる 旅客船 の 名前 は 「 蘇州 號 」 で ある 
__label__社会 , 熱帯 地方 に 多く 分布 する ツル 植物 や 常緑樹 など が 密生 し た 森林 の こと を 何 という ？ ジャングル 
__label__社会 , 「 アイビー リーグ 」 を 構成 する アメリカ 東部 の 8 つ の 大学 の うち 最も 早く 創設 さ れ た の は ハー バード 大学 で ある 
__label__社会 , 日本 の 都道府県 の 中 に は 市 や 村 が あっ て も 町 は 無い ところ が ある 
__label__社会 , 群馬 県 と 栃木 県 で より 西 に 位置 する の は 栃木 県 で ある 
__label__社会 , 広島 県 の 県 の 木 は もちろん モミジ で ある 
__label__社会 , 大阪 の 繁華 街 、 梅田 は かつて 梅林 が あっ た こと から その 名 が つい た 
__label__社会 , 次 の 文字 列 を 組み合わせ て 中国 に ある 世界 遺産 の 名前 に し なさい 明 ・ 清朝 の ラサ の ポ タラ 宮 の 安徽 省 南部 の 皇帝 陵墓 群 古代 集落 群 歴史 的 遺跡 群 
__label__社会 , JR の 駅 に は 、 一 年 の うち で 1 本 の 列車 も 停車 し ない 駅 が 存在 する 
__label__社会 , 埼玉 県 に ある 都市 は 西松山 市 で ある 
__label__社会 , 先進 国 が 発展 途上 国 に 行う 「 政府 開発 援助 」 の こと を アルファベット の 略称 で 何 という ？ ODA 
__label__社会 , 歌手 の マイケル ・ ジャクソン や 女優 の エリザベス ・ テーラー が 睡る 、 カリフォルニア 州 に ある 墓地 は ○○○○○○○○ 墓地 ？ フォレストローン 
__label__社会 , 次 の うち 東日本 に ある 大学 を 全て 選び なさい 倉敷芸術科学大学 近畿大学 会津大学 高崎 商科 大学 
__label__社会 , 次 の 日本 の カルスト 地形 と それ が ある 都道府県 の 正しい 組み合わせ を 選び なさい 秋吉台 平尾台 帝釈 台 広島 県 山口 県 福岡 県 
__label__社会 , 次 の 観光 名所 を それ が ある 都道府県 ごと に グループ 分け し なさい 福岡 県 長崎 県 宮崎 県 シーガイア 九州 国立 博物館 旧 グラバー 邸 門司 港 レ トロ 地区 
__label__社会 , 国連 の 機関 の ひとつ で ニューヨーク に 本部 を 置き ます UNICEF 
__label__社会 , ユニバーサル スタジオ や ケネディ 宇宙 センター など の 観光 名所 が 有名 な アメリカ ・ フロリダ 州 の 都市 は ？ オーランド 
__label__社会 , 紀元前 5 世紀 頃 に スイス 周辺 に い た ケルト 系 民族 の 名前 が つけ られ た 、 スイス の 自国 で の 正式 名称 は ○ ○ ○ ○ ○ 連邦 ？ ( 5 文字 ) ヘルベチア 
__label__社会 , 愛 ・ 地球 博 の マスコット モリゾー と キッコロ を デザイン し た の は 宮崎 駿 で ある 
__label__社会 , 1994 年 に 解散 し た 対 共産 圏 輸出 統制 委員 会 の 略称 は ○○○？○ を 答え なさい ココム 
