__label__芸能 , 映画 『 ダーティハリー 』 の 主演 は クリント ・ ○○○○○○○？ イーストウッド 
__label__芸能 , 『 君 は 僕 の 勇気 』 など の ヒット 曲 が ある 歌手 です 東野 純直 
__label__芸能 , 舞台 用語 で 上手 （ かみ て ） と いえ ば 正面 から 見 て 左側 を 指す 
__label__芸能 , 2006 年 公開 の 映画 『 ダ・ヴィンチ・コード 』 の 監督 は ロン ・ ハワード で ある 
__label__芸能 , イギリス の バンドビートルズ の ドラマー は リンゴ ・ スター です が ザ・フー の ドラマー は キース ・ ○○○？○ を 答え なさい ムーン 
__label__芸能 , 2009 年 に アニメ 『 くる ねこ 』 の 主題歌 『 Beautiful Day 』 を 歌い 日本 で の 芸能 活動 を 再開 さ せ た タレント は ビビアン ・ スー で ある 
__label__芸能 , 2006 年 に 放映 さ れ た フジテレビ の TV ドラマ 『 西遊 記 』 で 孫悟空 を 演じ た の は 香取 慎吾 です が 沙悟浄 を 演じ た の は ○○○○？○ の 漢字 を ひ ら が なで 答え なさい うち むら てる よし 
__label__芸能 , 次 の うち 、 TV ドラマ 『 渡る 世間 は 鬼 ばかり 』 で 岡倉 家 の 5 人 姉妹 を 演じ た 女優 を 全て 選び なさい 沢田 雅美 長山 藍子 小林 綾子 
__label__芸能 , 『 アメリカ 横断 ウルトラ クイズ 』 の 記念 す べき 初代 チャンピオン は 松尾 清三 で ある 
__label__芸能 , [ 画像 問 ] 大河ドラマ 『 天地人 』 など に 出演 し た 子役 ・ 加藤 清史 郎 が 2009 年 に リリース し た 曲 は 『 ○○○○○ だ よ 人生 は 』 ？ （ A . かつお ぶし | B . とう が らし ） 
__label__芸能 , 小杉 竜一 と 吉田 敬 の 2 人 による お笑い コンビ は ブラック マヨネーズ で ある 
__label__芸能 , 一般 公開 に 先立ち 、 特定 の 劇場 で 行う 映画 の 封切り 上映 の こと ロードショー 
__label__芸能 , 次 の 役者 を 活躍 する 伝統 芸能 ごと に グループ 分け し なさい 歌舞伎 狂言 市川 中車 中村 獅童 和泉 元 彌 
__label__芸能 , ナインティナイン の 2 人 は 同じ 高校 の サッカー 部 出身 です が 北陽 の 2 人 は 同じ 高校 の 何 部 出身 ？ タグビー 部 テニス 部 ソフトボール 部 サッカー 部 
__label__芸能 , かつて アイドル ユニット 「 EE JUMP 」 の 一員 だっ た 女性 タレント は ○○○？○ を 答え なさい ソニン 
__label__芸能 , 2011 年 10 月 に 公開 さ れ た 三谷 幸喜 の 監督 による 深津 絵里 主演 の 映画 は 『 ステキ な 金縛り 』 で ある 
__label__芸能 , 1989 年 頃 に 放送 さ れ た ホンダ・インテグラ の CM で マイケル ・ J ・ フォックス が 言っ て い た 決め ゼリフ は ？ カッコインテグラ 
__label__芸能 , 楽器 の サックス を 考案 し た の は サックス さん で ある 
__label__芸能 , 舞台 用語 で 、 証明 スタッフ など が 通る 、 天井 裏 の 細い 通路 の こと を 何 という ？ スネークウォーク キャットウォーク バード ウォーク マウス ウォーク 
__label__芸能 , 「 ガム ラム 」 と いえ ば インドネシア の 伝統 音楽 で ある 
__label__芸能 , かつて 音楽 ユニットブラックビスケッツ で 活躍 し た 台湾 出身 の タレント は ○ ○ ○ ○ ・ スー ？ ○ を 答え なさい ビビアン 
__label__芸能 , 1953 年 8 月 28 日 に 日本 初 の テレビ CM を 流し た 放送 局 は フジテレビ で ある 
__label__芸能 , 村田 秀 亮 と 久保 田和 靖 の 2 人 から なる 、 吉本興業 の お笑い コンビ は ○ ○ サーモン ？ ○ を 答え なさい と ろ 
__label__芸能 , 次 の アイドル を 所属 し て いる グループ ごと に グループ 分け し なさい も も いろ クローバー Z アイドリング !!! AKB 48 高 城 れ に 菊池 亜美 北原 里 英 
__label__芸能 , 漫才 コンビ ・ W コロン の ね づっちの 決め 台詞 です ととのい まし た 
__label__芸能 , 2003 年 公開 の 映画 『 アバウト・シュミット 』 に 主演 し た ハリウッド 俳優 は ジーン ・ ハックマン で ある 
__label__芸能 , 3 人組 の 音楽 グループ 「 THE ALFEE 」 は 、 1974 年 の デビュー 当時 は 2 人組 だっ た 
__label__芸能 , FUNKY MONKEY BABYS の デビュー 曲 『 その まんま 東 へ 』 の PV に は 「 その まんま 東 」 の 芸名 で 活動 し て い た 東国 原 英夫 が 出演 し た 
__label__芸能 , 2010 年 に は 川島 海 荷 が カバー し た 広末 涼子 の デビュー 曲 は 『 Maji で Koi する ○ 秒 前 』 ？ 数字 で 答え なさい 5 
__label__芸能 , [ 画像 問 ] ジョン・カーペンター 監督 の 映画 『 クリス ティーン 』 で 人間 を 襲う もの は どっち ？ （ A . クマ | B . 車 ） 
__label__芸能 , 1975 年 に リリース さ れ た キャンディーズ の ヒット 曲 は 『 ハート の ○ ○ ○ が 出 て こ ない 』 ？ ( 3 文字 ) エース 
__label__芸能 , 無実 の 罪 で 投獄 さ れ た 兄 を 救う ため に 弟 が 奔走 する アメリカ の TV ドラマ は 『 プリズン・ ○ ○ ○ ○ 』 ？ ( 4 文字 ) ブレイク 
__label__芸能 , ベルリン を 舞台 と する リーアム・ニーソン 主演 の サスペンス 映画 アン ノ ウン 
__label__芸能 , 歌手 ・ 小田 和正 が かつて 所属 し て い た グループ は チューリップ で ある 
__label__芸能 , 次 の 文字 列 を 組み合わせ て 懐かし の バラエティ 番組 の タイトル に し なさい た の きん ねるとん 加 ト ちゃん ケン ちゃん 全力 投球 ご き げん テレビ 紅 鯨 団 
__label__芸能 , 1888 年 に ロンドン で 起き た 切り裂き ジャック 事件 を 描い た ジョニー ・ デップ 主演 による 2001 年 の 映画 は ？ フロム・ヘル 
__label__芸能 , 2009 年 に 亡くなっ た ジャズ 歌手 ・ 井上 良 を 父 に 持つ 元 アイドル は ？ 松本 伊代 早見 優 菊池 桃子 萩野 目 洋子 
__label__芸能 , 2010 年 に 『 Stargazer 』 で ソロ デビュー し た AKB 48 の メンバー 増田 有 華 
__label__芸能 , テレビ朝日 の TV 時代 劇 『 暴れん 坊 将軍 』 の 主演 俳優 は 松平 健 で ある 
__label__芸能 , ジャ ニーズ の 人気 ユニット 「 タッキー & 翼 」 。 タッキー の フルネーム は ○○○○？○ の 漢字 を ひ ら が なで 答え なさい たき ざわひであき 
__label__芸能 , U - ICHI 、 MICRO 、 KURO の 3 人 から なる ヒップホップグループ は ○○○○○○○○ 家族 ？ HOMEMADE 
__label__芸能 , 2008 年 に シングル 『 Relax !』 で デビュー し た 、 AKB 48 の メンバー による ユニット は 「 タンクトップス 」 で ある 
__label__芸能 , タレント や モデル が 身 に つける 衣裳 や 小物 を 用意 する 職業 スタイリスト 
__label__芸能 , 日本テレビ の TV ドラマ 『 ごく せ ん 』 で 仲間 由紀恵 が 演じる 主人公 の 愛称 は ヤンクミ で ある 
__label__芸能 , 「 ハリポタ 」 シリーズ の 3 作 目 は 『 ハリー ・ ポッター と ？ の 囚人 』 アズカバン 
__label__芸能 , 2010 年 に 「 世界一 人数 の 多い ポップ グループ 」 として ギネス 世界 記録 に 認定 さ れ た の は ジャ ニーズ Jr . で ある 
__label__芸能 , ノッチ と 安田 和博 の 2 人 から なる 、 太田 プロ 所属 の お笑い コンビ は ？ ( 6 文字 ) デンジャラス 
