__label__社会 , エジプト と スーダン の 国境 に 位置 する 、 1970 年 の アスワンハイダム 建設 によって 誕生 し た 人工 湖 は ○ ○ ○ 湖 ？ ( 3 文字 ) ナセル 
__label__社会 , 景勝 地 として 有名 な 江の島 が ある 神奈川 県 の 都市 は 藤沢 市 で ある 
__label__社会 , 2009 年 に 日本 司法 支援 センター （ 法 テラス ） の 理事 に 就任 し た 女性 キャスター は 草野 満代 で ある 
__label__社会 , 株価 が 極端 な 変動 を 防ぐ ため の 1 日 における 値幅 制限 の 上限 まで 株価 が 上昇 する こと を 何 という ？ ストップ高 
__label__社会 , 漢字 で は 「 桑 港 」 と 書く アメリカ の 都市 は ？ サンフランシスコ 
__label__社会 , 企業 が 短期 の 資金 調達 の ため に 発行 する 約束 手形 の うち 、 証券 取引 法 上 の 有価 証券 に 該当 する もの は ○ ○ ○ ○ ○ ○ ペーパー ？ コマーシャル 
__label__社会 , ヨーロッパ の 国 です 独逸 
__label__社会 , 地球 の 赤道 と 子午線 長い の は 赤道 で ある 
__label__社会 , 荷物 を 積ん だ トレーラー や トラック を 貨車 に 載せる 「 豚 の 背中 」 という 意味 の 輸送 方法 は ？ ピギーバック 
__label__社会 , 160 階 建て アルマーニホテル 所在地 は ドバイ 世界一 高い ビル 1 ワールド トレード センター ブルジュ・ハリファ クライスラービル シアーズ・タワー 
__label__社会 , 日本 の 刑務所 で 囚人 に 出さ れる 麦 ごはん は 麦 より 米 の 分量 の 方 が 多い 
__label__社会 , 山口 県 下関 市 に 実在 する サンデン交通 の バス 停留所 は 「 皇后 様 」 で ある 
__label__社会 , 1981 年 に フランス 第 五 共和 政 の 第 4 代 大統領 に 就任 し た 人物 は フランソワ ・ ○○○○○？ ( 5 文字 ) ミッテラン 
__label__社会 , 東京大学 医学部 の 俗称 は 「 鉄 門 」 で ある 
__label__社会 , 2011 年 11 月 に 日本航空 が 就航 さ せ た の は 亀梨 和也 が 描か れ た 「 妖怪 人間 ベム JET 」 で ある 
__label__社会 , 1989 年 に 崩壊 し 、 東西ドイツ 統一 の きっかけ と なっ た の は ○ ○ ○ ○ の 壁 ？ ○ を 答え なさい ベルリン 
__label__社会 , 2012 年 1 月 に 、 野田 内閣 の 副 総理 に 就任 し た 政治 家 は ？ ひ ら が なで 答え なさい おか だ か つや 
__label__社会 , 1481 年 に とん ち で 知ら れる 一休宗純 が 亡くなっ た 京都 府 京田辺 市 に ある 寺院 で 、 別名 を 「 一休 寺 」 という の は ？ ( 3 文字 ) 酬恩 庵 
__label__社会 , オーストラリア の パスポート の 性別 欄 で 、 男性 で も 女性 で も ない 人 に対し 記さ れる アルファベット は 「 ○ 」 ？ ○ を 答え なさい X 
__label__社会 , スイス ・ アルプス に 位置 する 標高 4505 m の 山 です ヴァイスホルン 
__label__社会 , 日本 三 大美 林 で 青森 と いえ ば ヒバ です が 秋田 と いえ ば ○ ○ ？ ○ を 答え なさい スギ 
__label__社会 , ベトナム 北部 、 ホン 川 の 下流 に 広がる の は ○ ○ ○ ○ デルタ ？ トンキン 
__label__社会 , 下り ホーム が 駅舎 から 徒歩 で 10 分 かかる ほど の 地下 に ある ため 「 日本一 の モグラ 駅 」 と 呼ば れる JR 上越 線 の 駅 は ○ ○ 駅 ？ ( 2 文字 ) 土合 
__label__社会 , 東京 新宿 区 高田馬場 の 由来 と なっ た 馬場 を 造営 し た 徳川 将軍 は 徳川 秀忠 で ある 
__label__社会 , 日本 で 最も 短い 国道 174 号線 が ある 都市 は 大坂 市 で ある 
__label__社会 , 2011 年 に 運行 を 開始 し た 東北新幹線 の 列車 です は やぶ さ 
__label__社会 , 日本 に は ， ひ ら が な を 使わ ない 車 の ナンバー プレート が 存在 する 
__label__社会 , 貝がら 節 祭り キュリー 祭 倉 吉春 まつり 米子 がい な 祭 鳥取 県 北海道 島根 県 山形 県 
__label__社会 , 日本 の 証券 取引 所 における 午前 の 最後 の 取引 の こと を 「 ○ ○ ○ 」 という ？ ひ ら が な 4 文字 で 答え なさい ぜん びけ 
__label__社会 , 次 の 大学 を その 本部 が ある 国 ごと に グループ 分け し なさい オランダ フランス アメリカ シラキュース 大学 ポワティエ 大学 ライデン 大学 モンペリエ 大学 
__label__社会 , 「 芋虫 」 という 意味 が ある 戦車 など の 車輪 に つい て いる ベルト を ○○○○○ という ？ ○ を 答え なさい キャタピラ 
__label__社会 , [ 画像 問 ] 次 の うち 、 小田急電鉄 の 特急 「 ロマンス カー 」 は どっち ？ （ A . 白地 に オレンジ の ライン | B . 青地 ） 
__label__社会 , 1975 年 に 完成 し た 世界 初 の 海上 空港 です 長崎 空港 
__label__社会 , 次 の 文字 を 順に 選ん で お 墓 や 仏壇 に 仏 の 魂 を 迎える 儀式 の 名前 に し なさい 眼 供 養 開 
__label__社会 , 日本 で は 毎年 優秀 な 検事 に 「 検事 ・ オブ ・ ザ・イヤー 」 という 賞 が 贈ら れ て いる 
__label__社会 , アイヌ が 冬 に 行う 熊 送り の 儀式 イヨマンテ 
__label__社会 , 全日空 の 創業 者 です 美 土路 昌一 
__label__社会 , 茨城 県 の 北部 に 位置 する 市 で 2004 年 の 合併 によって 県内 で 最も 広い 市町村 に なっ た の は ○ ○ ○ ○ 市 ？ 常陸太田 
__label__社会 , 生後 6 ヶ月 未満 の 子供 が 海外 に 行く 際 に は パスポート は 必要 ない 
__label__社会 , 2010 年 の 参院 選 で 「 みんな の 党 」 から 出馬 し 初 当選 を 果たし た 、 タリーズコーヒージャパン 創業 者 は ？ ( 4 文字 ) 松田 公 太 
__label__社会 , 次 の うち 、 日本国 憲法 第 22 条 において 「 公共 の 福祉 に 反し ない 限り 自由 を 有する 」 と 規定 さ れ て いる もの を 全て 選び なさい 職業 選択 就学 居住 
__label__社会 , エチオピア 帝国 最後 の 皇帝 ハイレ・セラシエ 1 世 を 神 と する レゲエ を 媒体 として 広まっ た ジャマイカ の 社会 宗教 運動 は ？ ラスタファリズム 
__label__社会 , 日本 三 大 鍾乳洞 に 数え られる 秋芳 洞 が ある の は ○ ○ 県 ？ ○ の 漢字 を ひ ら が なで 答え なさい や ま ぐち 
__label__社会 , 日付変更線 が 通っ て いる の は 太平洋 で ある 
__label__社会 , 衆議院 議員 ・ 渡辺 喜美 が 受賞 者 と なっ た 、 2009 年 の 「 ユーキャン 新語 ・ 流行 語 大賞 」 で トップ テン に 選ば れ た 言葉 は ？ ( 3 文字 ) 脱 官僚 
__label__社会 , 地図 の 種類 の 英語 で の 呼び名 で 特に 海図 や 航空 図 の こと を 意味 する の は ？ チャート 
__label__社会 , [ 画像 問 ] 次 の うち 、 沖縄 の 首 里 城 に ある 「 守札 門 」 は どっち ？ （ A . 守 禮之 邦 、 4 本 の 柱 | B . 切妻 造 、 低い 柵 が 置か れ て いる ） 
__label__社会 , 2012 年 に 世界 遺産 に 登録 さ れ た フランス の 鉱山 地帯 は 「 ノール ＝ ○○○○○○○ の 高山 地帯 」 ？ パ・ド・カレー 
__label__社会 , 「 日本 三 大 瀑布 」 の ひとつ 西行 法師 ゆかり の 滝 久慈川 の 支流 ・ 滝川 に かかる 別名 は 「 四 度 滝 」 養老 の 滝 称名 の 滝 華厳 の 滝 袋田の滝 
__label__社会 , サクレクール 寺院 が ある パリ 北部 の 丘 モンマルトル 
__label__社会 , 漫画 家 ・ 鳥山 明 の 許可 を 受け て 命名 さ れ た 、 俳優 ・ 伊勢谷 友 介 が 主催 する 東日本 大震災 復興 支援 活動 は 「 ○ ○ ○ プロジェクト 」 ？ 元気 玉 
__label__社会 , インテリア の 総合 企業 「 東リ 」 の 、 かつて の 社名 は 「 東洋 リフォーム 」 で ある 
__label__社会 , 東京 メトロ ・ 半蔵門線 の ライン カラー は ？ ( 4 文字 ) パープル 
__label__社会 , コンビニエンスストア が 誕生 し た 国 は 日本 で ある 
__label__社会 , 日本 の 世界 遺産 「 古都 京都 の 文化財 」 に 登録 さ れ て いる 物件 は 全て 仏教 寺院 で ある 
